,Date,Revenue
0,2025-01-31,1283.0
1,2024-10-31,860.0
2,2024-07-31,798.0
3,2024-04-30,882.0
4,2024-01-31,1794.0
5,2023-10-31,1078.0
6,2023-07-31,1164.0
7,2023-04-30,1237.0
8,2023-01-31,2226.0
9,2022-10-31,1186.0
10,2022-07-31,1136.0
11,2022-04-30,1378.0
12,2022-01-31,2254.0
13,2021-10-31,1297.0
14,2021-07-31,1183.0
15,2021-04-30,1277.0
16,2021-01-31,2122.0
17,2020-10-31,1005.0
18,2020-07-31,942.0
19,2020-04-30,1021.0
20,2020-01-31,2194.0
21,2019-10-31,1439.0
22,2019-07-31,1286.0
23,2019-04-30,1548.0
24,2019-01-31,3063.0
25,2018-10-31,1935.0
26,2018-07-31,1501.0
27,2018-04-30,1786.0
28,2018-01-31,2825.0
29,2017-10-31,1989.0
30,2017-07-31,1688.0
31,2017-04-30,2046.0
32,2017-01-31,2403.0
33,2016-10-31,1959.0
34,2016-07-31,1632.0
35,2016-04-30,1972.0
36,2016-01-31,3525.0
37,2015-10-31,2016.0
38,2015-07-31,1762.0
39,2015-04-30,2061.0
40,2015-01-31,3476.0
41,2014-10-31,2092.0
42,2014-07-31,1731.0
43,2014-04-30,1996.0
44,2014-01-31,3684.0
45,2013-10-31,2107.0
46,2013-07-31,1384.0
47,2013-04-30,1865.0
48,2013-01-31,3562.0
49,2012-10-31,1773.0
50,2012-07-31,1550.0
51,2012-04-30,2002.0
52,2012-01-31,3579.0
53,2011-10-31,1947.0
54,2011-07-31,1744.0
55,2011-04-30,2281.0
56,2011-01-31,3693.0
57,2010-10-31,1899.0
58,2010-07-31,1799.0
59,2010-04-30,2083.0
60,2010-01-31,3524.0
61,2009-10-31,1835.0
62,2009-07-31,1739.0
63,2009-04-30,1981.0
64,2009-01-31,3492.0
